business_id,cool,funny,stars,useful,review_length,Coffee/Dessert,Food/Atmosphere,Food/Service,Wait Time,Mexican Food,Breakfast,polarity,subjectivity,restaurant_age,review_count
-01XupAWZEXbdNbxNg5mEg,0.8181818181818182,0.7142857142857143,2.857142857142857,1.6103896103896105,120.25974025974025,0.0,0.42857142857142855,0.06493506493506493,0.4805194805194805,0.0,0.025974025974025976,0.1841443570595022,0.6133797605380951,8.257534246575343,8.257534246575343
-092wE7j5HZOogMLAh40zA,0.26506024096385544,0.21686746987951808,3.3493975903614457,1.3975903614457832,106.86746987951807,0.0,0.04819277108433735,0.5662650602409639,0.3373493975903614,0.0,0.04819277108433735,0.1496394176481371,0.6068458264010953,8.386301369863014,8.386301369863014
-0Sgh0QlUKVsWosCWJzGqQ,0.13636363636363635,0.4772727272727273,1.9772727272727273,0.7045454545454546,90.3409090909091,0.0,0.045454545454545456,0.045454545454545456,0.9090909090909091,0.0,0.0,0.009063216350148175,0.5549155620910429,7.326027397260274,7.326027397260274
-0WegMt6Cy966qlDKhu6jA,0.37662337662337664,0.24675324675324675,2.142857142857143,0.6623376623376623,124.68831168831169,0.0,0.2597402597402597,0.012987012987012988,0.7272727272727273,0.0,0.0,-0.02291996354575523,0.5450965065599797,4.712328767123288,4.712328767123288
-0aIra_B6iALlfqAriBSYA,0.5625,0.375,4.625,0.9375,75.40625,0.03125,0.5,0.125,0.28125,0.03125,0.03125,0.3241536777039228,0.5894657492335189,2.5315068493150683,2.5315068493150683
-0tgMGl7D9B10YjSN2ujLA,0.5333333333333333,0.5166666666666667,3.316666666666667,1.2666666666666666,86.23333333333333,0.0,0.6,0.016666666666666666,0.375,0.0,0.008333333333333333,0.2061187555742818,0.5655686297672575,11.849315068493151,11.849315068493151
-1UMR00eXtwaeh59pEiDjA,0.5415384615384615,0.4246153846153846,3.44,0.7384615384615385,87.57230769230769,0.003076923076923077,0.24,0.06153846153846154,0.4553846153846154,0.006153846153846154,0.23384615384615384,0.24234724173544647,0.6078569815392244,3.778082191780822,3.778082191780822
-1VaIJza42Hjev6ukacCNg,0.22727272727272727,0.29545454545454547,3.846590909090909,1.0113636363636365,86.9715909090909,0.0,0.39204545454545453,0.17613636363636365,0.3693181818181818,0.03977272727272727,0.022727272727272728,0.2777726522424944,0.5898527909564204,9.986301369863014,9.986301369863014
-2isRNVb6PDuBagELL5EBw,0.4,0.5,3.1,0.35,94.9,0.0,0.0,0.0,1.0,0.0,0.0,0.13991992579527826,0.6220421351831125,9.41095890410959,9.41095890410959
-34vSRcMz_RjN00dWIiQ3Q,0.14285714285714285,0.14285714285714285,2.7857142857142856,1.0714285714285714,104.21428571428571,0.0,0.07142857142857142,0.07142857142857142,0.8571428571428571,0.0,0.0,0.13874692734514163,0.5973079651829651,7.117808219178082,7.117808219178082
-4TMQnQJW1yd6NqGRDvAeA,0.6572237960339944,0.4985835694050991,4.093484419263456,1.2832861189801699,148.9886685552408,0.0,0.7648725212464589,0.06232294617563739,0.16147308781869688,0.0,0.0113314447592068,0.3208367466553333,0.6520990894684994,5.287671232876712,5.287671232876712
